"","x"
"1",1
"2",1
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",2
"10",1
"11",2
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",2
"19",2
"20",2
"21",2
"22",2
"23",1
"24",2
"25",1
"26",1
"27",2
"28",2
"29",2
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",1
"50",2
"51",1
"52",2
"53",2
"54",2
"55",2
"56",1
"57",1
"58",1
"59",2
"60",1
"61",1
"62",2
"63",2
"64",2
"65",1
"66",2
"67",1
"68",2
"69",2
"70",2
"71",1
"72",2
"73",2
"74",2
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",2
"86",2
"87",2
"88",2
"89",1
"90",2
"91",2
"92",2
"93",2
"94",1
"95",1
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",1
"104",2
"105",1
"106",2
"107",2
"108",1
"109",2
"110",1
"111",2
"112",2
"113",2
"114",2
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",2
"124",1
"125",1
"126",2
"127",2
"128",2
"129",2
"130",2
"131",1
"132",2
"133",2
"134",2
"135",2
"136",2
"137",1
"138",2
"139",1
"140",1
"141",1
"142",2
"143",2
"144",1
"145",1
"146",1
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",1
"155",2
"156",2
"157",2
"158",2
"159",1
"160",1
"161",1
"162",2
"163",2
"164",2
"165",1
"166",2
"167",1
"168",2
"169",2
"170",1
"171",1
"172",2
"173",2
"174",2
"175",1
"176",2
"177",1
"178",2
"179",2
"180",2
"181",1
"182",1
"183",2
"184",2
"185",2
"186",1
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",2
"196",2
"197",1
"198",1
"199",2
"200",2
"201",2
"202",2
"203",2
"204",1
"205",2
"206",1
"207",1
"208",2
"209",1
"210",2
"211",1
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
