"","x"
"1",2
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",2
"11",1
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",1
"19",1
"20",1
"21",1
"22",1
"23",2
"24",1
"25",2
"26",2
"27",1
"28",1
"29",1
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",2
"50",1
"51",2
"52",1
"53",1
"54",1
"55",1
"56",2
"57",2
"58",2
"59",1
"60",1
"61",2
"62",1
"63",1
"64",2
"65",2
"66",1
"67",2
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",2
"93",1
"94",2
"95",2
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",2
"104",1
"105",2
"106",1
"107",1
"108",1
"109",1
"110",2
"111",1
"112",2
"113",1
"114",1
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",1
"124",2
"125",2
"126",1
"127",1
"128",1
"129",1
"130",1
"131",2
"132",1
"133",1
"134",1
"135",1
"136",1
"137",2
"138",1
"139",2
"140",1
"141",2
"142",1
"143",1
"144",1
"145",1
"146",2
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",2
"155",1
"156",1
"157",1
"158",1
"159",2
"160",2
"161",2
"162",1
"163",1
"164",1
"165",2
"166",1
"167",2
"168",1
"169",1
"170",1
"171",2
"172",1
"173",1
"174",1
"175",2
"176",1
"177",2
"178",1
"179",1
"180",1
"181",1
"182",2
"183",1
"184",1
"185",1
"186",2
"187",1
"188",1
"189",2
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",2
"199",1
"200",1
"201",1
"202",1
"203",1
"204",2
"205",1
"206",1
"207",1
"208",1
"209",2
"210",1
"211",2
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
