"","x"
"1",2
"2",2
"3",2
"4",3
"5",3
"6",3
"7",3
"8",1
"9",1
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",3
"24",2
"25",2
"26",2
"27",1
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",3
"39",1
"40",3
"41",2
"42",2
"43",2
"44",2
"45",3
"46",2
"47",2
"48",2
"49",2
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",2
"61",2
"62",1
"63",1
"64",3
"65",2
"66",1
"67",2
"68",2
"69",3
"70",2
"71",1
"72",2
"73",2
"74",3
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",1
"86",2
"87",2
"88",3
"89",2
"90",1
"91",2
"92",3
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",1
"102",2
"103",2
"104",3
"105",2
"106",1
"107",2
"108",1
"109",2
"110",2
"111",2
"112",2
"113",3
"114",2
"115",1
"116",2
"117",2
"118",2
"119",2
"120",2
"121",1
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",1
"129",2
"130",2
"131",2
"132",3
"133",2
"134",1
"135",2
"136",2
"137",2
"138",3
"139",2
"140",2
"141",3
"142",1
"143",2
"144",2
"145",2
"146",2
"147",1
"148",1
"149",2
"150",3
"151",2
"152",3
"153",2
"154",3
"155",1
"156",2
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",3
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",2
"173",2
"174",3
"175",2
"176",2
"177",3
"178",2
"179",1
"180",1
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",3
"188",1
"189",3
"190",1
"191",2
"192",2
"193",2
"194",2
"195",2
"196",1
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",1
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",3
"216",2
"217",2
