"[1] ""Asian_European",87,0,28,25,0,63,8,0,6,"0.000499750124937531"""
"[1] ""A.terreus_conidial_burden_qPCR",1254.4,317606413.827415,2713.3,1182622213.79171,1409.3,65425522.453022,"0.0159949357109389""",,,
"[1] ""MMRC_score",1,1.5694889397,2,1.908045977,1.5,0.5549450549,"0.00305866980149581""",,,
"[1] ""No_of_exacerbations_1yr_before_study",1,3.7566742944,2,7.1033176594,1,1.8021978022,"0.0396416981396872""",,,
"[1] ""Disease_severity",6,46,63,9,22,57,4,2,8,"0.0129935032483758"""
"[1] ""Inhaled.corticosteroids..Yes.0..No.1.",34,81,39,49,3,11,"0.0494752623688156""",,,
"[1] ""Mucolytic..Yes.0..No.1.",45,70,16,72,3,11,"0.00499750124937531""",,,
"[1] ""IL.7",0.804429446,3.4392745347,1.424297652,5.2935444788,0.5853291095,1.3183957962,"0.0129118951013165""",,,
"[1] ""IL.8",735.3979821,2577043.45308379,464.4035969,15036445.6618041,1081.40187,6820537.9003408,"0.0145199615783835""",,,
"[1] ""MIP.1b",7.814333748,775.7803906081,3.931830143,51.3588770332,5.647737632,2844.6842882108,"0.00136145106496544""",,,
"[1] ""PDGF.AA",0.465579853,16.9409705791,0.394029702,17.4461661103,2.105010196,17.5329076024,"0.0298466182760322""",,,
"[1] ""PDGF.AB.BB",2.093622565,24.6864098212,0.991487813,7.5014535845,1.4960594235,8.4662437129,"0.00420325715707174""",,,
"[1] ""VEGF",12.62555365,885.8853505045,27.84751439,1272.7413285903,9.472933744,1581.4090160949,"0.0262159679906644""",,,
